id,name,host_id,host_name,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews
1672,Beach House,1589,Elon,Neighbourhood B,Hotel room,298,22,85
1673,City Conda,1077,Elon,Neighbourhood D,Private room,321,5,226
1674,City Conda,1171,Charlie,Neighbourhood A,Shared room,115,7,81
1675,City Conda,1288,Alice,Neighbourhood A,Entire home/apt,413,18,240
1676,Shared Dorm,1544,Elon,Neighbourhood B,Entire home/apt,486,13,1
1677,Beach House,1811,Bob,Neighbourhood B,Entire home/apt,407,22,250
1678,Luxury Villa,1787,Elon,Neighbourhood B,Entire home/apt,176,11,41
1679,Luxury Villa,1878,Charlie,Neighbourhood D,Shared room,147,5,80
1680,Shared Dorm,1419,Bob,Neighbourhood D,Hotel room,164,22,261
1681,City Conda,1006,Alice,Neighbourhood C,Hotel room,44,15,196
1682,Cozy Apt,1159,Alice,Neighbourhood B,Hotel room,366,21,247
1683,Shared Dorm,1239,Elon,Neighbourhood C,Private room,331,7,295
1684,Shared Dorm,1962,Bob,Neighbourhood C,Hotel room,235,5,35
1685,Beach House,1422,Bob,Neighbourhood C,Private room,262,29,102
1686,Luxury Villa,1988,Elon,Neighbourhood A,Shared room,333,7,97
1687,Shared Dorm,1535,Elon,Neighbourhood C,Private room,95,17,144
1688,Shared Dorm,1725,Diana,Neighbourhood B,Hotel room,491,9,281
1689,City Conda,1069,Diana,Neighbourhood D,Entire home/apt,33,6,126
1690,City Conda,1879,Elon,Neighbourhood B,Shared room,32,9,282
1691,Cozy Apt,1215,Charlie,Neighbourhood D,Hotel room,288,17,66
1692,Beach House,1103,Diana,Neighbourhood A,Hotel room,232,2,146
1693,Cozy Apt,1726,Elon,Neighbourhood A,Hotel room,354,23,80
1694,City Conda,1053,Bob,Neighbourhood B,Shared room,269,20,252
1695,Luxury Villa,1805,Diana,Neighbourhood A,Entire home/apt,122,13,241
1696,City Conda,1329,Charlie,Neighbourhood D,Entire home/apt,313,26,64
1697,Beach House,1847,Alice,Neighbourhood A,Entire home/apt,52,17,70
1698,City Conda,1202,Bob,Neighbourhood C,Hotel room,315,21,35
1699,Beach House,1287,Charlie,Neighbourhood C,Private room,347,20,66
1700,Beach House,1044,Charlie,Neighbourhood A,Hotel room,116,6,82
1701,Beach House,1828,Charlie,Neighbourhood B,Entire home/apt,80,29,169
1702,Beach House,1197,Bob,Neighbourhood C,Shared room,326,23,66
1703,Beach House,1215,Charlie,Neighbourhood D,Private room,499,27,97
1704,Luxury Villa,1480,Alice,Neighbourhood B,Private room,349,19,292
1705,Cozy Apt,1308,Diana,Neighbourhood A,Hotel room,72,6,249
1706,Shared Dorm,1895,Bob,Neighbourhood B,Shared room,233,2,207
1707,Cozy Apt,1434,Charlie,Neighbourhood B,Private room,376,28,62
1708,Beach House,1331,Elon,Neighbourhood B,Entire home/apt,87,26,77
1709,Luxury Villa,1695,Diana,Neighbourhood B,Hotel room,88,13,29
1710,City Conda,1026,Bob,Neighbourhood A,Hotel room,197,20,250
1711,Luxury Villa,1165,Elon,Neighbourhood A,Entire home/apt,203,10,114
1712,Beach House,1317,Elon,Neighbourhood C,Entire home/apt,347,29,218
1713,Luxury Villa,1273,Charlie,Neighbourhood C,Entire home/apt,462,9,153
1714,Luxury Villa,1382,Bob,Neighbourhood D,Private room,401,13,220
1715,Beach House,1364,Charlie,Neighbourhood D,Shared room,236,7,22
1716,Luxury Villa,1102,Alice,Neighbourhood C,Private room,140,18,213
1717,Shared Dorm,1959,Elon,Neighbourhood C,Shared room,52,22,147
1718,Shared Dorm,1502,Alice,Neighbourhood B,Hotel room,457,14,207
1719,Luxury Villa,1844,Charlie,Neighbourhood C,Shared room,262,4,158
1720,City Conda,1372,Diana,Neighbourhood D,Entire home/apt,457,8,166
1721,Beach House,1615,Elon,Neighbourhood C,Private room,304,12,62
1722,Shared Dorm,1925,Diana,Neighbourhood B,Entire home/apt,201,8,275
1723,City Conda,1244,Bob,Neighbourhood D,Hotel room,40,16,22
1724,Luxury Villa,1816,Elon,Neighbourhood A,Private room,89,1,223
1725,City Conda,1168,Alice,Neighbourhood C,Private room,451,24,200
1726,Cozy Apt,1627,Diana,Neighbourhood A,Entire home/apt,261,10,282
1727,Shared Dorm,1652,Bob,Neighbourhood D,Private room,264,7,214
1728,Luxury Villa,1417,Elon,Neighbourhood C,Entire home/apt,32,14,264
1729,Beach House,1355,Bob,Neighbourhood A,Shared room,173,17,228
1730,Luxury Villa,1477,Alice,Neighbourhood C,Hotel room,259,19,226
1731,Beach House,1124,Elon,Neighbourhood A,Entire home/apt,38,5,276
1732,Luxury Villa,1536,Bob,Neighbourhood A,Hotel room,326,19,229
1733,City Conda,1705,Charlie,Neighbourhood D,Private room,323,3,214
1734,City Conda,1895,Elon,Neighbourhood C,Hotel room,354,1,156
1735,City Conda,1611,Elon,Neighbourhood A,Hotel room,222,8,12
1736,Cozy Apt,1401,Elon,Neighbourhood C,Hotel room,320,9,196
1737,Beach House,1516,Elon,Neighbourhood C,Private room,156,5,110
1738,City Conda,1530,Charlie,Neighbourhood B,Shared room,448,1,102
1739,Cozy Apt,1681,Alice,Neighbourhood D,Shared room,489,17,102
1740,Beach House,1785,Charlie,Neighbourhood C,Shared room,498,25,169
1741,Luxury Villa,1253,Charlie,Neighbourhood C,Entire home/apt,77,14,108
1742,Cozy Apt,1120,Bob,Neighbourhood C,Entire home/apt,136,17,125
1743,Shared Dorm,1031,Diana,Neighbourhood D,Private room,293,9,234
1744,Cozy Apt,1660,Diana,Neighbourhood D,Shared room,282,3,147
1745,Cozy Apt,1777,Bob,Neighbourhood C,Hotel room,56,3,170
1746,Beach House,1036,Charlie,Neighbourhood D,Shared room,38,13,0
1747,Luxury Villa,1688,Bob,Neighbourhood B,Entire home/apt,249,20,39
1748,Shared Dorm,1341,Elon,Neighbourhood D,Private room,187,5,236
1749,City Conda,1012,Bob,Neighbourhood B,Shared room,43,6,6
1750,City Conda,1182,Bob,Neighbourhood B,Entire home/apt,436,14,162
1751,Cozy Apt,1656,Elon,Neighbourhood B,Entire home/apt,58,6,289
1752,Beach House,1264,Diana,Neighbourhood A,Hotel room,55,26,156
1753,Beach House,1087,Elon,Neighbourhood D,Shared room,243,29,113
1754,City Conda,1939,Alice,Neighbourhood C,Hotel room,172,29,111
1755,Shared Dorm,1461,Bob,Neighbourhood B,Shared room,144,25,256
1756,Luxury Villa,1045,Bob,Neighbourhood C,Private room,358,17,72
1757,Shared Dorm,1391,Diana,Neighbourhood B,Shared room,247,9,192
1758,Luxury Villa,1118,Charlie,Neighbourhood C,Hotel room,110,4,272
1759,City Conda,1932,Elon,Neighbourhood A,Hotel room,230,23,223
1760,Luxury Villa,1530,Charlie,Neighbourhood B,Entire home/apt,96,15,93
1761,Beach House,1446,Alice,Neighbourhood A,Shared room,278,22,206
1762,Cozy Apt,1731,Elon,Neighbourhood A,Shared room,173,25,169
1763,Cozy Apt,1941,Alice,Neighbourhood D,Private room,170,18,155
1764,City Conda,1744,Alice,Neighbourhood C,Entire home/apt,375,15,243
1765,Beach House,1605,Alice,Neighbourhood B,Hotel room,494,27,2
1766,Shared Dorm,1966,Elon,Neighbourhood A,Shared room,125,18,219
1767,Beach House,1762,Elon,Neighbourhood C,Entire home/apt,437,7,4
1768,Cozy Apt,1761,Diana,Neighbourhood D,Private room,147,15,193
1769,Cozy Apt,1793,Bob,Neighbourhood C,Entire home/apt,347,28,53
1770,Beach House,1743,Charlie,Neighbourhood C,Shared room,214,25,299
1771,Beach House,1045,Charlie,Neighbourhood D,Shared room,321,5,208
1772,Cozy Apt,1885,Alice,Neighbourhood D,Private room,473,23,75
1773,Shared Dorm,1507,Elon,Neighbourhood D,Private room,274,11,217
1774,City Conda,1557,Elon,Neighbourhood A,Private room,499,24,117
1775,City Conda,1970,Alice,Neighbourhood C,Hotel room,409,14,279
1776,Beach House,1525,Bob,Neighbourhood D,Entire home/apt,230,8,79
1777,City Conda,1596,Charlie,Neighbourhood C,Entire home/apt,307,4,186
1778,Cozy Apt,1830,Diana,Neighbourhood C,Entire home/apt,390,10,7
1779,Cozy Apt,1839,Bob,Neighbourhood A,Hotel room,399,7,90
1780,Beach House,1002,Elon,Neighbourhood C,Entire home/apt,139,1,209
1781,Beach House,1027,Alice,Neighbourhood A,Private room,241,20,257
1782,Beach House,1380,Charlie,Neighbourhood D,Entire home/apt,288,12,40
1783,Shared Dorm,1156,Alice,Neighbourhood D,Hotel room,193,13,214
1784,City Conda,1854,Elon,Neighbourhood C,Hotel room,126,16,183
1785,Beach House,1913,Alice,Neighbourhood A,Entire home/apt,239,14,240
1786,Luxury Villa,1930,Charlie,Neighbourhood A,Hotel room,65,13,105
1787,Luxury Villa,1510,Alice,Neighbourhood B,Hotel room,295,5,21
1788,Cozy Apt,1332,Charlie,Neighbourhood B,Entire home/apt,129,14,244
1789,City Conda,1843,Alice,Neighbourhood D,Hotel room,50,26,273
1790,Beach House,1686,Alice,Neighbourhood D,Hotel room,246,13,78
1791,Luxury Villa,1113,Charlie,Neighbourhood B,Entire home/apt,462,14,22
1792,City Conda,1388,Alice,Neighbourhood A,Private room,133,12,110
1793,Cozy Apt,1486,Bob,Neighbourhood C,Private room,400,23,129
1794,Shared Dorm,1842,Diana,Neighbourhood C,Hotel room,422,28,259
1795,City Conda,1249,Bob,Neighbourhood A,Shared room,141,22,153
1796,City Conda,1570,Diana,Neighbourhood D,Shared room,248,20,18
1797,Shared Dorm,1714,Bob,Neighbourhood C,Entire home/apt,149,15,48
1798,City Conda,1314,Diana,Neighbourhood A,Entire home/apt,278,19,73
1799,Cozy Apt,1238,Alice,Neighbourhood C,Private room,364,11,213
1800,Cozy Apt,1233,Charlie,Neighbourhood A,Shared room,465,22,52
1801,Shared Dorm,1302,Charlie,Neighbourhood B,Entire home/apt,125,26,189
1802,Beach House,1606,Elon,Neighbourhood B,Shared room,461,15,128
1803,Luxury Villa,1990,Diana,Neighbourhood C,Shared room,217,29,143
1804,Beach House,1652,Elon,Neighbourhood C,Hotel room,393,28,247
1805,City Conda,1333,Elon,Neighbourhood C,Hotel room,404,21,179
1806,Luxury Villa,1112,Diana,Neighbourhood C,Shared room,463,12,6
1807,Shared Dorm,1620,Charlie,Neighbourhood B,Private room,452,19,290
1808,Shared Dorm,1361,Diana,Neighbourhood B,Entire home/apt,173,16,205
1809,Luxury Villa,1856,Alice,Neighbourhood A,Entire home/apt,57,4,67
1810,Cozy Apt,1800,Elon,Neighbourhood C,Private room,35,18,142
1811,Luxury Villa,1096,Elon,Neighbourhood B,Hotel room,346,9,107
1812,City Conda,1957,Diana,Neighbourhood D,Hotel room,291,16,184
1813,Cozy Apt,1846,Elon,Neighbourhood A,Private room,259,7,239
1814,Shared Dorm,1015,Charlie,Neighbourhood A,Private room,151,28,150
1815,Luxury Villa,1555,Elon,Neighbourhood A,Hotel room,223,26,210
1816,Beach House,1953,Diana,Neighbourhood D,Shared room,134,19,77
1817,Beach House,1375,Charlie,Neighbourhood D,Hotel room,453,24,227
1818,City Conda,1741,Charlie,Neighbourhood D,Shared room,228,24,246
1819,Beach House,1389,Elon,Neighbourhood B,Entire home/apt,91,11,101
1820,Luxury Villa,1619,Diana,Neighbourhood D,Entire home/apt,313,17,213
1821,Luxury Villa,1216,Elon,Neighbourhood A,Shared room,109,21,138
1822,Beach House,1398,Alice,Neighbourhood C,Shared room,204,5,185
1823,Luxury Villa,1259,Alice,Neighbourhood A,Hotel room,38,12,167
1824,City Conda,1823,Charlie,Neighbourhood A,Private room,209,19,57
1825,Cozy Apt,1319,Elon,Neighbourhood B,Shared room,300,2,118
1826,City Conda,1195,Alice,Neighbourhood A,Entire home/apt,191,1,87
1827,City Conda,1477,Bob,Neighbourhood B,Hotel room,305,29,121
1828,Luxury Villa,1417,Alice,Neighbourhood B,Entire home/apt,235,4,243
1829,Cozy Apt,1474,Elon,Neighbourhood C,Hotel room,89,28,66
1830,Luxury Villa,1606,Elon,Neighbourhood A,Private room,215,11,293
1831,Shared Dorm,1567,Alice,Neighbourhood C,Private room,104,26,129
1832,Luxury Villa,1543,Elon,Neighbourhood C,Entire home/apt,123,18,39
1833,Luxury Villa,1230,Elon,Neighbourhood A,Shared room,96,21,211
1834,Luxury Villa,1883,Bob,Neighbourhood A,Shared room,31,28,55
1835,Cozy Apt,1520,Charlie,Neighbourhood D,Entire home/apt,207,27,199
1836,Luxury Villa,1702,Elon,Neighbourhood D,Shared room,171,16,290
1837,Cozy Apt,1872,Diana,Neighbourhood B,Shared room,469,10,106
1838,Beach House,1199,Charlie,Neighbourhood A,Entire home/apt,482,12,194
1839,Shared Dorm,1845,Charlie,Neighbourhood B,Entire home/apt,73,2,121
1840,Cozy Apt,1672,Diana,Neighbourhood C,Private room,203,1,94
1841,Beach House,1598,Alice,Neighbourhood C,Entire home/apt,419,10,286
1842,Cozy Apt,1020,Bob,Neighbourhood D,Private room,421,10,124
1843,Cozy Apt,1310,Elon,Neighbourhood B,Private room,324,28,125
1844,Shared Dorm,1587,Alice,Neighbourhood A,Hotel room,260,26,35
1845,City Conda,1952,Diana,Neighbourhood A,Shared room,265,10,216
1846,City Conda,1897,Bob,Neighbourhood D,Entire home/apt,122,25,2
1847,Cozy Apt,1652,Bob,Neighbourhood D,Shared room,73,2,29
1848,Luxury Villa,1637,Bob,Neighbourhood B,Hotel room,56,26,254
1849,Beach House,1762,Diana,Neighbourhood D,Entire home/apt,301,20,44
1850,Luxury Villa,1899,Alice,Neighbourhood D,Entire home/apt,68,3,176
1851,Luxury Villa,1595,Elon,Neighbourhood D,Hotel room,414,1,221
1852,Cozy Apt,1433,Bob,Neighbourhood C,Shared room,464,24,112
1853,Cozy Apt,1370,Bob,Neighbourhood B,Private room,476,18,121
1854,Cozy Apt,1559,Alice,Neighbourhood A,Hotel room,318,11,274
1855,Cozy Apt,1890,Bob,Neighbourhood A,Hotel room,277,24,231
1856,City Conda,1077,Bob,Neighbourhood B,Entire home/apt,79,12,248
1857,Cozy Apt,1541,Diana,Neighbourhood D,Private room,388,1,102
1858,City Conda,1284,Charlie,Neighbourhood D,Hotel room,467,6,175
1859,City Conda,1647,Alice,Neighbourhood A,Shared room,312,16,235
1860,Cozy Apt,1139,Alice,Neighbourhood C,Hotel room,238,20,281
1861,Shared Dorm,1552,Alice,Neighbourhood B,Shared room,153,3,244
1862,Beach House,1997,Diana,Neighbourhood D,Entire home/apt,492,17,132
1863,Luxury Villa,1281,Diana,Neighbourhood C,Hotel room,371,26,158
1864,City Conda,1561,Elon,Neighbourhood C,Shared room,278,16,279
1865,Beach House,1257,Diana,Neighbourhood D,Entire home/apt,432,11,21
1866,Shared Dorm,1822,Alice,Neighbourhood B,Entire home/apt,313,16,101
1867,Luxury Villa,1359,Elon,Neighbourhood B,Entire home/apt,180,12,149
1868,Luxury Villa,1439,Charlie,Neighbourhood A,Hotel room,93,1,56
1869,City Conda,1269,Bob,Neighbourhood A,Entire home/apt,270,11,157
1870,Cozy Apt,1133,Bob,Neighbourhood B,Entire home/apt,196,23,194
1871,Shared Dorm,1745,Elon,Neighbourhood D,Shared room,269,6,166
1872,City Conda,1639,Charlie,Neighbourhood B,Entire home/apt,78,19,193
1873,Shared Dorm,1103,Bob,Neighbourhood A,Hotel room,216,12,259
1874,Cozy Apt,1765,Elon,Neighbourhood A,Private room,177,28,199
1875,Cozy Apt,1094,Diana,Neighbourhood A,Entire home/apt,218,2,4
1876,City Conda,1848,Alice,Neighbourhood B,Hotel room,140,10,299
1877,Cozy Apt,1728,Charlie,Neighbourhood B,Entire home/apt,413,19,90
1878,Beach House,1572,Bob,Neighbourhood D,Hotel room,294,28,23
1879,Luxury Villa,1479,Alice,Neighbourhood A,Entire home/apt,308,15,235
1880,City Conda,1779,Elon,Neighbourhood C,Shared room,266,8,234
1881,Shared Dorm,1240,Bob,Neighbourhood C,Private room,420,11,225
1882,Beach House,1012,Alice,Neighbourhood D,Private room,188,23,27
1883,City Conda,1146,Diana,Neighbourhood D,Hotel room,89,16,151
1884,Cozy Apt,1939,Charlie,Neighbourhood A,Hotel room,346,13,245
1885,Cozy Apt,1751,Elon,Neighbourhood B,Private room,104,28,4
1886,Cozy Apt,1600,Bob,Neighbourhood B,Shared room,494,13,12
1887,Cozy Apt,1094,Diana,Neighbourhood C,Shared room,257,23,54
1888,Shared Dorm,1826,Charlie,Neighbourhood A,Entire home/apt,183,5,285
1889,Beach House,1292,Charlie,Neighbourhood C,Shared room,385,12,101
1890,Luxury Villa,1024,Diana,Neighbourhood C,Private room,495,10,213
1891,Shared Dorm,1271,Bob,Neighbourhood A,Private room,339,19,112
1892,Shared Dorm,1504,Charlie,Neighbourhood D,Shared room,316,17,89
1893,Luxury Villa,1165,Elon,Neighbourhood C,Shared room,270,1,270
1894,Luxury Villa,1938,Alice,Neighbourhood D,Private room,256,22,246
1895,Cozy Apt,1761,Elon,Neighbourhood B,Private room,198,15,29
1896,Shared Dorm,1086,Charlie,Neighbourhood C,Private room,313,16,27
1897,City Conda,1653,Alice,Neighbourhood A,Private room,375,20,67
1898,Luxury Villa,1645,Diana,Neighbourhood D,Private room,291,23,142
1899,Luxury Villa,1984,Alice,Neighbourhood B,Shared room,319,10,33
1900,Beach House,1790,Alice,Neighbourhood B,Shared room,377,10,226
1901,City Conda,1637,Alice,Neighbourhood C,Entire home/apt,393,26,202
1902,City Conda,1827,Charlie,Neighbourhood B,Entire home/apt,38,17,60
1903,Luxury Villa,1490,Bob,Neighbourhood A,Hotel room,378,29,190
1904,Cozy Apt,1907,Charlie,Neighbourhood C,Entire home/apt,127,22,1
1905,Beach House,1140,Bob,Neighbourhood B,Shared room,41,23,117
1906,City Conda,1867,Diana,Neighbourhood A,Entire home/apt,301,17,51
1907,Luxury Villa,1102,Diana,Neighbourhood D,Entire home/apt,100,2,14
1908,City Conda,1225,Diana,Neighbourhood D,Shared room,444,9,283
1909,Beach House,1901,Diana,Neighbourhood C,Private room,446,25,95
1910,Beach House,1574,Diana,Neighbourhood A,Shared room,164,22,97
1911,Shared Dorm,1293,Elon,Neighbourhood B,Shared room,288,27,54
1912,Luxury Villa,1895,Charlie,Neighbourhood C,Hotel room,433,4,277
1913,Beach House,1305,Bob,Neighbourhood C,Hotel room,34,7,244
1914,Shared Dorm,1253,Diana,Neighbourhood B,Hotel room,480,5,37
1915,Shared Dorm,1179,Elon,Neighbourhood A,Private room,268,19,119
1916,City Conda,1039,Elon,Neighbourhood B,Entire home/apt,323,4,257
1917,City Conda,1775,Elon,Neighbourhood D,Hotel room,364,18,139
1918,Shared Dorm,1700,Charlie,Neighbourhood C,Shared room,128,22,182
1919,City Conda,1519,Diana,Neighbourhood D,Hotel room,469,3,212
1920,Beach House,1615,Elon,Neighbourhood C,Shared room,180,23,125
1921,Cozy Apt,1736,Elon,Neighbourhood B,Private room,287,4,139
1922,Beach House,1545,Diana,Neighbourhood A,Hotel room,385,14,108
1923,Shared Dorm,1235,Charlie,Neighbourhood B,Shared room,178,24,8
1924,Shared Dorm,1462,Elon,Neighbourhood D,Entire home/apt,491,27,31
1925,Beach House,1227,Bob,Neighbourhood A,Private room,171,14,234
1926,City Conda,1699,Alice,Neighbourhood A,Shared room,280,17,72
1927,City Conda,1824,Alice,Neighbourhood C,Entire home/apt,475,9,135
1928,Shared Dorm,1482,Alice,Neighbourhood A,Entire home/apt,263,19,253
1929,Luxury Villa,1429,Charlie,Neighbourhood C,Shared room,424,3,115
1930,City Conda,1021,Elon,Neighbourhood A,Hotel room,161,15,155
1931,Beach House,1342,Alice,Neighbourhood A,Entire home/apt,76,21,81
1932,City Conda,1039,Alice,Neighbourhood C,Private room,401,26,106
1933,Beach House,1172,Diana,Neighbourhood A,Entire home/apt,123,1,228
1934,Shared Dorm,1438,Elon,Neighbourhood B,Hotel room,278,19,291
1935,City Conda,1178,Elon,Neighbourhood A,Private room,385,4,116
1936,Beach House,1597,Diana,Neighbourhood D,Private room,49,14,287
1937,Shared Dorm,1132,Elon,Neighbourhood C,Private room,209,18,212
1938,Luxury Villa,1350,Bob,Neighbourhood C,Shared room,301,12,166
1939,Beach House,1524,Charlie,Neighbourhood B,Entire home/apt,458,6,48
1940,Luxury Villa,1539,Diana,Neighbourhood D,Hotel room,165,10,220
1941,Luxury Villa,1505,Alice,Neighbourhood A,Shared room,266,4,278
1942,Cozy Apt,1083,Elon,Neighbourhood B,Shared room,219,16,288
1943,City Conda,1992,Bob,Neighbourhood A,Private room,241,1,178
1944,Beach House,1463,Bob,Neighbourhood B,Shared room,434,3,170
1945,Luxury Villa,1829,Charlie,Neighbourhood C,Entire home/apt,93,7,3
1946,Cozy Apt,1860,Bob,Neighbourhood D,Shared room,389,3,194
1947,Shared Dorm,1342,Elon,Neighbourhood C,Shared room,443,29,257
1948,Beach House,1279,Elon,Neighbourhood B,Private room,193,22,44
1949,Luxury Villa,1865,Bob,Neighbourhood A,Private room,418,27,207
1950,City Conda,1262,Elon,Neighbourhood D,Shared room,498,15,114
1951,Cozy Apt,1165,Elon,Neighbourhood A,Private room,67,6,129
1952,Luxury Villa,1292,Alice,Neighbourhood C,Hotel room,244,16,159
1953,City Conda,1508,Diana,Neighbourhood A,Hotel room,48,17,0
1954,Luxury Villa,1579,Elon,Neighbourhood B,Hotel room,283,2,273
1955,Beach House,1225,Elon,Neighbourhood D,Shared room,103,10,159
1956,Beach House,1169,Charlie,Neighbourhood D,Entire home/apt,440,11,264
1957,Beach House,1597,Diana,Neighbourhood D,Entire home/apt,170,28,247
1958,Cozy Apt,1644,Diana,Neighbourhood B,Private room,422,27,23
1959,Beach House,1447,Diana,Neighbourhood A,Entire home/apt,46,6,266
1960,City Conda,1689,Bob,Neighbourhood D,Entire home/apt,124,18,155
1961,Luxury Villa,1854,Alice,Neighbourhood C,Shared room,263,15,271
1962,Shared Dorm,1501,Alice,Neighbourhood C,Private room,457,16,92
1963,City Conda,1763,Charlie,Neighbourhood C,Entire home/apt,330,13,11
1964,City Conda,1526,Diana,Neighbourhood C,Hotel room,117,16,237
1965,Beach House,1734,Diana,Neighbourhood C,Private room,327,2,120
1966,Cozy Apt,1378,Elon,Neighbourhood B,Private room,80,20,89
1967,Luxury Villa,1200,Bob,Neighbourhood A,Private room,274,12,74
1968,Cozy Apt,1618,Bob,Neighbourhood B,Hotel room,496,29,30
1969,Luxury Villa,1249,Charlie,Neighbourhood C,Entire home/apt,471,14,194
1970,Luxury Villa,1948,Alice,Neighbourhood C,Hotel room,142,8,88
1971,Cozy Apt,1408,Diana,Neighbourhood D,Private room,471,6,97
1972,City Conda,1600,Charlie,Neighbourhood D,Private room,443,14,128
1973,Luxury Villa,1124,Bob,Neighbourhood A,Shared room,418,24,294
1974,Cozy Apt,1112,Bob,Neighbourhood A,Shared room,37,15,94
1975,Luxury Villa,1980,Bob,Neighbourhood A,Shared room,66,20,163
1976,Shared Dorm,1136,Diana,Neighbourhood B,Shared room,76,27,229
1977,City Conda,1758,Diana,Neighbourhood D,Private room,129,3,139
1978,Beach House,1495,Diana,Neighbourhood A,Hotel room,374,7,108
1979,Luxury Villa,1677,Elon,Neighbourhood D,Shared room,202,16,13
1980,Shared Dorm,1149,Alice,Neighbourhood D,Hotel room,270,23,160
1981,Beach House,1874,Bob,Neighbourhood D,Shared room,418,2,131
1982,Beach House,1342,Bob,Neighbourhood D,Entire home/apt,220,17,112
1983,Luxury Villa,1944,Elon,Neighbourhood D,Shared room,371,11,285
1984,Cozy Apt,1579,Bob,Neighbourhood D,Hotel room,460,24,93
1985,Luxury Villa,1732,Bob,Neighbourhood B,Shared room,263,3,88
1986,Shared Dorm,1782,Diana,Neighbourhood C,Entire home/apt,310,22,133
1987,Beach House,1320,Diana,Neighbourhood D,Hotel room,264,23,260
1988,Luxury Villa,1821,Alice,Neighbourhood B,Hotel room,155,8,205
1989,Cozy Apt,1925,Bob,Neighbourhood A,Hotel room,207,22,33
1990,Luxury Villa,1860,Charlie,Neighbourhood B,Private room,202,23,168
1991,City Conda,1531,Bob,Neighbourhood B,Hotel room,401,21,145
1992,Cozy Apt,1288,Bob,Neighbourhood B,Private room,149,19,19
1993,Shared Dorm,1488,Alice,Neighbourhood D,Entire home/apt,59,18,106
1994,Beach House,1491,Charlie,Neighbourhood A,Hotel room,77,7,135
1995,Luxury Villa,1611,Bob,Neighbourhood B,Hotel room,208,16,25
1996,Cozy Apt,1251,Charlie,Neighbourhood A,Hotel room,123,24,245
1997,City Conda,1981,Diana,Neighbourhood B,Entire home/apt,84,14,154
1998,Cozy Apt,1076,Diana,Neighbourhood D,Private room,265,8,41
1999,City Conda,1646,Charlie,Neighbourhood B,Shared room,468,13,177
2000,Shared Dorm,1391,Bob,Neighbourhood B,Entire home/apt,331,3,80
2001,Beach House,1411,Charlie,Neighbourhood A,Entire home/apt,316,2,176
2002,Shared Dorm,1172,Charlie,Neighbourhood A,Entire home/apt,447,13,192
2003,Luxury Villa,1874,Diana,Neighbourhood A,Private room,377,25,190
2004,Cozy Apt,1200,Charlie,Neighbourhood C,Private room,103,22,282
2005,City Conda,1216,Elon,Neighbourhood A,Private room,481,26,245
2006,City Conda,1375,Elon,Neighbourhood B,Private room,446,3,99
2007,Cozy Apt,1719,Diana,Neighbourhood C,Private room,341,21,34
2008,Cozy Apt,1585,Bob,Neighbourhood A,Hotel room,471,1,293
2009,Luxury Villa,1010,Bob,Neighbourhood D,Shared room,151,2,293
2010,Shared Dorm,1798,Diana,Neighbourhood A,Shared room,86,25,41
2011,City Conda,1767,Bob,Neighbourhood D,Private room,302,10,169
2012,Luxury Villa,1011,Alice,Neighbourhood C,Private room,168,11,56
2013,Shared Dorm,1891,Elon,Neighbourhood D,Hotel room,228,26,53
2014,Luxury Villa,1990,Alice,Neighbourhood C,Private room,238,3,187
2015,City Conda,1589,Alice,Neighbourhood D,Hotel room,302,24,295
2016,Cozy Apt,1434,Alice,Neighbourhood A,Hotel room,390,26,85
2017,Cozy Apt,1683,Diana,Neighbourhood C,Entire home/apt,167,8,63
2018,Shared Dorm,1607,Alice,Neighbourhood B,Entire home/apt,439,15,80
2019,Beach House,1817,Charlie,Neighbourhood B,Private room,163,5,267
2020,Shared Dorm,1372,Bob,Neighbourhood B,Hotel room,366,8,184
2021,Beach House,1272,Diana,Neighbourhood A,Private room,45,18,25
2022,Luxury Villa,1930,Charlie,Neighbourhood B,Entire home/apt,132,18,237
2023,Luxury Villa,1896,Charlie,Neighbourhood C,Entire home/apt,272,12,295
2024,City Conda,1924,Elon,Neighbourhood B,Entire home/apt,119,4,298
2025,Beach House,1690,Elon,Neighbourhood C,Entire home/apt,33,8,224
2026,City Conda,1575,Charlie,Neighbourhood B,Entire home/apt,91,2,89
2027,Cozy Apt,1508,Elon,Neighbourhood D,Private room,241,20,16
2028,Beach House,1131,Bob,Neighbourhood C,Private room,277,24,87
2029,Shared Dorm,1854,Bob,Neighbourhood B,Entire home/apt,221,3,23
2030,Cozy Apt,1923,Elon,Neighbourhood B,Private room,85,8,222
2031,Cozy Apt,1783,Alice,Neighbourhood B,Entire home/apt,488,12,57
2032,Shared Dorm,1318,Charlie,Neighbourhood C,Entire home/apt,436,2,188
2033,Cozy Apt,1843,Bob,Neighbourhood C,Entire home/apt,318,17,221
2034,Beach House,1948,Elon,Neighbourhood B,Private room,60,14,50
2035,City Conda,1852,Elon,Neighbourhood D,Private room,420,14,87
2036,Cozy Apt,1620,Bob,Neighbourhood C,Hotel room,499,6,221
2037,Beach House,1784,Bob,Neighbourhood C,Private room,418,8,166
2038,Luxury Villa,1167,Alice,Neighbourhood D,Private room,450,25,193
2039,Beach House,1396,Elon,Neighbourhood A,Shared room,30,10,100
2040,City Conda,1179,Elon,Neighbourhood D,Entire home/apt,227,24,201
